#{"t_start": 1659292634.8480103, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
86.008513,100,29895.938392
87.266192,100,30005.833803
70.975896,100,30114.682774
81.300965,100,30223.998075
75.919778,100,30334.061197
69.658545,100,30447.464826
76.406912,100,30556.617625
86.909717,100,30670.759731
77.461227,100,30781.609653
80.119391,100,30901.315589
79.928979,100,31010.115729
84.229011,100,31121.457341
77.700709,100,31230.840277
85.710749,100,31341.866311
71.789268,100,31452.802887
85.182407,100,31564.29044
75.643302,100,31678.813182
83.535172,100,31791.404981
75.335628,100,31904.538788
84.459336,100,32017.690917
71.969223,100,32131.425756
76.835605,100,32244.924499
74.118818,100,32357.247207
83.420086,100,32469.650913
69.609654,100,32580.968306
83.794899,100,32694.628944
84.454926,100,32805.197047
81.597251,100,32918.950577
77.45034,100,33030.630679
87.738517,100,33145.697991
83.407673,100,33258.413175
89.799598,100,33372.999267
79.134815,100,33487.181094
84.260567,100,33601.298099
82.772833,100,33716.889624
84.863498,100,33831.829831
88.971676,100,33946.359664
75.176597,100,34061.254128
85.748888,100,34176.600772
76.36752,100,34292.263125
83.293801,100,34405.490123
75.919809,100,34518.902926
76.19631,100,34632.841447
85.257959,100,34746.979689
82.294785,100,34862.294884
87.804195,100,34977.040081
84.951072,100,35092.89569
84.930053,100,35209.955646
87.690377,100,35325.911693
87.45029,100,35442.082875
78.058489,100,35557.915212
81.966539,100,35673.1428
76.376309,100,35790.503756
81.091948,100,35906.900258
69.956811,100,36024.722894
84.609393,100,36143.911123
89.639692,100,36262.61353
77.017702,100,36380.223606
73.083029,100,36497.411572
83.373569,100,36613.297612
81.307501,100,36729.500836
84.259742,100,36849.922783
84.746809,100,36969.555732
89.70028,100,37090.590578
87.777476,100,37208.11752
85.211293,100,37326.823081
-85.700806,100,37445.088135
83.774965,100,37563.490747
84.748596,100,37685.54474
89.918764,100,37807.445745
84.332108,100,37927.880543
81.233658,100,38048.316864
86.07424,100,38169.184592
84.446178,100,38290.984354
84.787177,100,38411.163784
81.714596,100,38531.044899
80.460382,100,38654.978363
84.878209,100,38774.459639
86.057461,100,38898.203192
73.155793,100,39024.888271
75.457797,100,39150.04108
72.974646,100,39272.150737
72.171612,100,39395.400905
84.307269,100,39519.053189
85.715415,100,39641.448956
72.411361,100,39765.406092
85.116257,100,39891.938788
84.31946,100,40019.974247
80.352849,100,40146.272411
73.519378,100,40271.037218
85.108419,100,40396.161361
78.785891,100,40519.619329
73.548344,100,40642.570283
79.11639,100,40766.830887
86.316742,100,40892.200621
81.998827,100,41015.456479
87.146863,100,41142.404122
84.130119,100,41267.906914
84.300886,100,41392.708488
82.033291,100,41517.49175
77.602996,100,41643.306574
84.915679,100,41769.583983
82.040223,100,41897.92696
76.720154,100,42022.96199
82.08388,100,42148.867629
88.082013,100,42275.33062
87.319737,100,42401.906174
-173.113205,100,42528.854226
85.655806,100,42654.988155
87.511792,100,42781.433282
83.026256,100,42906.897323
85.829553,100,43032.001031
82.354061,100,43158.319061
72.95906,100,43287.038302
83.074754,100,43415.244244
77.066443,100,43544.536738
88.555965,100,43673.987228
82.490109,100,43803.430127
84.652869,100,43937.271147
80.937603,100,44066.396157
81.61908,100,44195.026605
87.36283,100,44324.218346
76.223636,100,44453.419869
83.288319,100,44582.662081
74.784569,100,44712.14618
88.095805,100,44843.026268
86.463807,100,44973.774937
76.668971,100,45104.748676
88.130824,100,45234.967925
77.78403,100,45366.82489
82.290833,100,45500.312594
74.427272,100,45635.608471
78.407341,100,45768.542803
82.709567,100,45901.51447
81.402156,100,46037.933127
84.113854,100,46173.334378
85.32774,100,46304.987368
84.53189,100,46440.637305
81.207496,100,46577.088952
77.119591,100,46709.663556
81.353253,100,46846.208011
